a,1
about,1
actual,7
ad,10
add,1
addactual,1
adorable,1
advertisement,4
all,1
also,1
and,1
but,2
calculate,1
carefull,1
cases,1
characters,1
confused,1
copy,1
correct,1
create,1
custom,3
days,8
each,1
end,1
existing,1
feed,1
feel,7
file,20
fixiz,1
for,1
from,21
gdańsk,2
got,1
happy,3
here,1
homework,1
i,8
in,1
input,20
inserted,1
is,20
it,4
iz,4
journal,12
json,6
kraków,1
last,2
left,8
letter,1
london,1
manually,1
mazowiecki,1
misspelling,1
mistake,1
more,1
my,5
need,1
news,15
normalize,1
not,1
note,2
number,1
of,4
olsztyn,1
one,1
only,2
paragraph,1
point,1
private,15
sad,1
sentence,2
some,2
spaces,1
tex,1
text,20
the,13
these,1
this,22
to,4
todayjenny,3
todaysimon,1
todaystephan,1
todaysusan,2
tomaszów,1
txt,8
unhappy,1
until,8
variable,1
view,1
when,1
whitespace,1
whitespaces,1
with,2
words,1
xml,6
you,1
your,1
łódźłódź,1
